,SegName,SegNum
503,Columbia Street Climb,5768781
504,Brooklyn Bridge Park: Greenway Hill Sprint Southbound,19965443
505,Brooklyn Bridge Park: Barbecue Pits Sprint,22352760
506,Brooklyn Bridge Park: Greenway Hill Sprint Northbound,19965451
507,Tillary Silly Little Commute Sprint with a Long Name,10011316
508,Jay St S (2016 BTB),13158243
509,Old Fulton Sprint,8307051
510,Boerum Place Climb,6150655
511,200 Meter Sprint,10877065
512,Tow Pound Climb to PS307,15891679
513,Tillary Dash,4934816
514,BQE to DeKalb,22844778
515,Dumbo Cobblestone Sprint,1149275
516,Get to the Sands,3910136
517,Pratt dash,2008925
518,Clermont climb to Myrtle,20612920
519,Hill 2,14885480
520,Washington Climb — BQE to Myrtle,12961220
521,willoughby pratt track,1190740
522,Vanderbilt Climb,1826062
523,Hall st climb,4818279
524,VanderBUILT,7841688
525,Carlton Cruise,7277097
529,Pool Sprint,3592763
530,Flushing to DeKalb,2918555
531,Hart St Neck Breaker ,14131015
532,Pool Sprint,3592765
533,Beaver Climb,1390732
534,Col du Bushwick,7584865
535,Stockholm Syndrome,4061703
536,Stanwix climb,24052975
537,Broadway Boogie: Myrtle 2 Dekalb,5019498
538,Final Sprint: Evergreen Everyday,4904696
539,straight lines,15043617
540,Himroddin' to Freedom Tri,32280518
541,Halsey Hill,7676923
542,Halsey Grind,7676936
543,Weirfield Hill,7340031
544,Everyday is Earth Day,28211054
545,Cornelia Climb,27830078
546,Myrtle to Broadway,25737611
547,Esscentrals ,31552539
548,Bushwick Bodega Bomb,32028132
550,Cypress Ave. Descent,23155293
551,Cypress Ave. Sprint to the Lights,25645403
552,Slope Stephen,11465404
553,Lower Myrtle Sprint,7615273
554,Highland loop and back to cooper,12562413
555,George mini gorge down,29504136
556,Highland Park Counter-Clockwise,9102106
557,Mid Glendale Sprint,7615458
558,Highland Park Loop,5800643
559,Little Cemetery Sprint,29104188
560,Forest Park - West Leg,9824563
561,Woodhaven Climb to Myrtle,17339188
562,Full Lap From the Jackie,18922747
563,Forest Park - Jackie Robinson to Woodhaven,3955187
564,Forest Park — West Leg (rev),13011446
565,Forest Park Descent,11875869
566,Forest Park Uphill Sprint,19358333
567,FORE!!!!,20217922
568,Park Ln to Forest Pk - Climb M,12408926
569,The Vista,4052412
570,Myrtle EB Light to ENd,19656321
571,south jamaica drop,24227913
573,Brooklyn Bridge Climb to Brooklyn,10380511
574,Brooklyn Bridge Climb - M2B,12694373
575,Trolls under the Brooklyn Bridge,7287010
576,Walk in the park,11853338
577,Better than East River Bike Path,6072428
578,Brooklyn Bridge Park: Pier 1 Loop,19349424
579,Frankfort-Dover Hillbomb,27087042
580,Dark side of justice (abolish the NYPD),27595222
581,Robert F. Wagner Sr. Pl Climb,2541502
583,ERB - Colears to Williamsburg,20783340
584,Pike Slip to Williamsburg Bridge,20625789
585,FDR Sprint,7282632
586,ERB - WIlliamsburg to Corlears Bridges,20770751
587,Pike Street Climb,4024107
588,Corlears Hook Climb,995134
589,ERP-South-S4,20770561
590,New East River Greenway,2375343
592,Col du Manhattan ,2161579
593,WB West - the hard bit,7812508
594,Washington Plaza,27790738
595,Wythe Sprint ,4513663
596,Metropolitan to Division,1110570
597,S 4th - Havemeyer to Berry ,21587975
598,Cinema Sprint ,10894388
600,Leonard St - Montrose to Moore,14131046
601,Grand St. (Union to Graham),22857634
602,Race the Lights to Meserole,6027410
603,Scholes St Sprint,5228190
604,lil hilly guy,8314061
605,Manhattan Climb,3855638
606,Marcy to Union S. 5th,4525495
607,Ain't life Grand?!?,3993726
608,Union Hump ,10840063
610,Knickerbocker Dash,15949554
611,Jonson to Varick,8313930
612,Scholes Bomb,25026248
613,Metropolitan Ave Bridge From Grand St Eastbound,3992913
614,Flushing to Grand,8313950
615,Grand To Flushing ,11869088
616,Stop Sign Alley,19771245
617,Sleepy Hollow,8441280
618,"Varick Ave, S",2221418
620,Cypress Ave hill,1112069
621,Woodward: Stanhope to Flushing AKA The Woodward slump,10205899
622,Grandview Ave Uphill,10374689
623,Climb up Onderdonk Ave 2 Harman St.,5431441
624,5 Points to Dekalb Hill Climb,3991891
625,Le Col de Onderdonk,749166
626,Harman st to Wyckoff Ave,10205839
627,Lil Cypress downhill,30639460
628,Menahan & Forest,33455160
629,Metropolitan slide to Freshpond,8451314
630,Le Petite Col de 62e,801841
631,Fresh Pond Sprint,7615079
632,Parking lot climb,7623480
633,Corporate Climb,7612685
636,Central Underpass Sprint,7615001
638,77th Ave Break Out,17741561
639,Out of the pines climb,8743689
640,88th St Descent,7615528
641,cooper -> 77th,32043739
643,East Ridge (more accurate),23678697
